"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"United Kingdom (UK)","01.01.2019 00:00 - 01.01.2019 00:30 (CET/CEST)","1420","n/e","n/e","6933","75","6","n/e","n/e","n/e","0","","429","n/e","n/e","6941","68","n/e","0","n/e","3085","6538"
"United Kingdom (UK)","01.01.2019 00:30 - 01.01.2019 01:00 (CET/CEST)","1093","n/e","n/e","6509","64","0","n/e","n/e","n/e","0","","428","n/e","n/e","6942","64","n/e","0","n/e","3177","6517"
"United Kingdom (UK)","01.01.2019 01:00 - 01.01.2019 01:30 (CET/CEST)","1059","n/e","n/e","5993","63","0","n/e","n/e","n/e","0","","419","n/e","n/e","6930","65","n/e","0","n/e","3142","6305"
"United Kingdom (UK)","01.01.2019 01:30 - 01.01.2019 02:00 (CET/CEST)","1044","n/e","n/e","6075","63","0","n/e","n/e","n/e","105","","389","n/e","n/e","6868","63","n/e","0","n/e","3254","6098"
"United Kingdom (UK)","01.01.2019 02:00 - 01.01.2019 02:30 (CET/CEST)","1025","n/e","n/e","6176","63","0","n/e","n/e","n/e","0","","377","n/e","n/e","6832","63","n/e","0","n/e","3341","6216"
"United Kingdom (UK)","01.01.2019 02:30 - 01.01.2019 03:00 (CET/CEST)","1022","n/e","n/e","5395","64","0","n/e","n/e","n/e","0","","370","n/e","n/e","6829","63","n/e","0","n/e","3214","5974"
"United Kingdom (UK)","01.01.2019 03:00 - 01.01.2019 03:30 (CET/CEST)","1021","n/e","n/e","4942","65","0","n/e","n/e","n/e","0","","357","n/e","n/e","6829","63","n/e","0","n/e","3123","5768"
"United Kingdom (UK)","01.01.2019 03:30 - 01.01.2019 04:00 (CET/CEST)","1016","n/e","n/e","5331","65","0","n/e","n/e","n/e","0","","341","n/e","n/e","6823","63","n/e","0","n/e","3193","5705"
"United Kingdom (UK)","01.01.2019 04:00 - 01.01.2019 04:30 (CET/CEST)","1016","n/e","n/e","5363","65","0","n/e","n/e","n/e","0","","326","n/e","n/e","6825","63","n/e","0","n/e","3009","5377"
"United Kingdom (UK)","01.01.2019 04:30 - 01.01.2019 05:00 (CET/CEST)","1013","n/e","n/e","4883","66","0","n/e","n/e","n/e","0","","323","n/e","n/e","6811","65","n/e","0","n/e","2961","5337"
"United Kingdom (UK)","01.01.2019 05:00 - 01.01.2019 05:30 (CET/CEST)","1011","n/e","n/e","4986","66","0","n/e","n/e","n/e","0","","398","n/e","n/e","6797","64","n/e","0","n/e","2886","5014"
"United Kingdom (UK)","01.01.2019 05:30 - 01.01.2019 06:00 (CET/CEST)","1011","n/e","n/e","4947","66","0","n/e","n/e","n/e","0","","401","n/e","n/e","6784","64","n/e","0","n/e","3064","4876"
"United Kingdom (UK)","01.01.2019 06:00 - 01.01.2019 06:30 (CET/CEST)","1012","n/e","n/e","5086","65","0","n/e","n/e","n/e","0","","430","n/e","n/e","6769","64","n/e","0","n/e","2956","4758"
"United Kingdom (UK)","01.01.2019 06:30 - 01.01.2019 07:00 (CET/CEST)","1016","n/e","n/e","5471","65","0","n/e","n/e","n/e","0","","447","n/e","n/e","6751","64","n/e","0","n/e","2918","4612"
"United Kingdom (UK)","01.01.2019 07:00 - 01.01.2019 07:30 (CET/CEST)","1268","n/e","n/e","5947","65","0","n/e","n/e","n/e","0","","447","n/e","n/e","6749","64","n/e","0","n/e","3005","4390"
"United Kingdom (UK)","01.01.2019 07:30 - 01.01.2019 08:00 (CET/CEST)","1564","n/e","n/e","6437","65","0","n/e","n/e","n/e","0","","444","n/e","n/e","6721","63","n/e","0","n/e","3025","4226"
"United Kingdom (UK)","01.01.2019 08:00 - 01.01.2019 08:30 (CET/CEST)","1075","n/e","n/e","6766","65","0","n/e","n/e","n/e","0","","454","n/e","n/e","6715","63","n/e","0","n/e","2987","4136"
"United Kingdom (UK)","01.01.2019 08:30 - 01.01.2019 09:00 (CET/CEST)","1016","n/e","n/e","6547","65","0","n/e","n/e","n/e","343","","418","n/e","n/e","6699","80","n/e","0","n/e","2928","3954"
"United Kingdom (UK)","01.01.2019 09:00 - 01.01.2019 09:30 (CET/CEST)","1019","n/e","n/e","7110","65","0","n/e","n/e","n/e","0","","469","n/e","n/e","6682","63","n/e","5","n/e","2792","3835"
"United Kingdom (UK)","01.01.2019 09:30 - 01.01.2019 10:00 (CET/CEST)","1020","n/e","n/e","7962","65","0","n/e","n/e","n/e","187","","479","n/e","n/e","6678","66","n/e","105","n/e","2653","3757"
"United Kingdom (UK)","01.01.2019 10:00 - 01.01.2019 10:30 (CET/CEST)","1038","n/e","n/e","9070","65","0","n/e","n/e","n/e","223","","526","n/e","n/e","6665","66","n/e","358","n/e","2584","3442"
"United Kingdom (UK)","01.01.2019 10:30 - 01.01.2019 11:00 (CET/CEST)","1111","n/e","n/e","10422","52","0","n/e","n/e","n/e","186","","515","n/e","n/e","6649","64","n/e","688","n/e","2351","3396"
"United Kingdom (UK)","01.01.2019 11:00 - 01.01.2019 11:30 (CET/CEST)","1302","n/e","n/e","11203","57","0","n/e","n/e","n/e","349","","516","n/e","n/e","6637","79","n/e","1110","n/e","2197","3307"
"United Kingdom (UK)","01.01.2019 11:30 - 01.01.2019 12:00 (CET/CEST)","1260","n/e","n/e","11894","223","0","n/e","n/e","n/e","152","","517","n/e","n/e","6632","65","n/e","1530","n/e","2319","3290"
"United Kingdom (UK)","01.01.2019 12:00 - 01.01.2019 12:30 (CET/CEST)","1306","n/e","n/e","12655","399","0","n/e","n/e","n/e","178","","512","n/e","n/e","6522","65","n/e","1920","n/e","2292","3269"
"United Kingdom (UK)","01.01.2019 12:30 - 01.01.2019 13:00 (CET/CEST)","1330","n/e","n/e","13335","400","0","n/e","n/e","n/e","150","","498","n/e","n/e","6502","65","n/e","2080","n/e","2255","3318"
"United Kingdom (UK)","01.01.2019 13:00 - 01.01.2019 13:30 (CET/CEST)","1342","n/e","n/e","13796","424","0","n/e","n/e","n/e","176","","510","n/e","n/e","6483","65","n/e","2010","n/e","2499","3082"
"United Kingdom (UK)","01.01.2019 13:30 - 01.01.2019 14:00 (CET/CEST)","1160","n/e","n/e","14419","478","0","n/e","n/e","n/e","190","","521","n/e","n/e","6462","66","n/e","1880","n/e","2525","3008"
"United Kingdom (UK)","01.01.2019 14:00 - 01.01.2019 14:30 (CET/CEST)","1112","n/e","n/e","14960","622","0","n/e","n/e","n/e","473","","541","n/e","n/e","6438","64","n/e","1560","n/e","2222","2995"
"United Kingdom (UK)","01.01.2019 14:30 - 01.01.2019 15:00 (CET/CEST)","1120","n/e","n/e","15287","603","0","n/e","n/e","n/e","154","","552","n/e","n/e","6427","68","n/e","1210","n/e","2228","3129"
"United Kingdom (UK)","01.01.2019 15:00 - 01.01.2019 15:30 (CET/CEST)","1123","n/e","n/e","15444","507","0","n/e","n/e","n/e","177","","524","n/e","n/e","6434","63","n/e","896","n/e","2200","3142"
"United Kingdom (UK)","01.01.2019 15:30 - 01.01.2019 16:00 (CET/CEST)","911","n/e","n/e","15723","650","0","n/e","n/e","n/e","447","","523","n/e","n/e","6425","71","n/e","551","n/e","2205","2884"
"United Kingdom (UK)","01.01.2019 16:00 - 01.01.2019 16:30 (CET/CEST)","1026","n/e","n/e","16031","746","0","n/e","n/e","n/e","203","","543","n/e","n/e","6431","67","n/e","236","n/e","2320","2956"
"United Kingdom (UK)","01.01.2019 16:30 - 01.01.2019 17:00 (CET/CEST)","1436","n/e","n/e","16149","1055","0","n/e","n/e","n/e","150","","546","n/e","n/e","6433","64","n/e","48","n/e","2373","2820"
"United Kingdom (UK)","01.01.2019 17:00 - 01.01.2019 17:30 (CET/CEST)","1379","n/e","n/e","17159","1575","0","n/e","n/e","n/e","191","","562","n/e","n/e","6432","66","n/e","0","n/e","2336","2615"
"United Kingdom (UK)","01.01.2019 17:30 - 01.01.2019 18:00 (CET/CEST)","1460","n/e","n/e","18231","2483","0","n/e","n/e","n/e","575","","925","n/e","n/e","6424","70","n/e","2","n/e","2330","2474"
"United Kingdom (UK)","01.01.2019 18:00 - 01.01.2019 18:30 (CET/CEST)","1371","n/e","n/e","18356","2735","0","n/e","n/e","n/e","880","","961","n/e","n/e","6424","83","n/e","0","n/e","2429","2443"
