"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Cyprus (CY)","01.01.2019 00:00 - 01.01.2019 00:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","426","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","77"
"Cyprus (CY)","01.01.2019 00:30 - 01.01.2019 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","427","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","63"
"Cyprus (CY)","01.01.2019 01:00 - 01.01.2019 01:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","425","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","47"
"Cyprus (CY)","01.01.2019 01:30 - 01.01.2019 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","395","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","53"
"Cyprus (CY)","01.01.2019 02:00 - 01.01.2019 02:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","372","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","61"
"Cyprus (CY)","01.01.2019 02:30 - 01.01.2019 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","374","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","53"
"Cyprus (CY)","01.01.2019 03:00 - 01.01.2019 03:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","377","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","43"
"Cyprus (CY)","01.01.2019 03:30 - 01.01.2019 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","355","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","56"
"Cyprus (CY)","01.01.2019 04:00 - 01.01.2019 04:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","367","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","42"
"Cyprus (CY)","01.01.2019 04:30 - 01.01.2019 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","382","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","26"
"Cyprus (CY)","01.01.2019 05:00 - 01.01.2019 05:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","403","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7"
"Cyprus (CY)","01.01.2019 05:30 - 01.01.2019 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","374","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","25"
"Cyprus (CY)","01.01.2019 06:00 - 01.01.2019 06:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","377","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","26"
"Cyprus (CY)","01.01.2019 06:30 - 01.01.2019 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","392","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","20"
"Cyprus (CY)","01.01.2019 07:00 - 01.01.2019 07:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","414","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","17"
"Cyprus (CY)","01.01.2019 07:30 - 01.01.2019 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","424","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","27"
"Cyprus (CY)","01.01.2019 08:00 - 01.01.2019 08:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","426","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","40"
"Cyprus (CY)","01.01.2019 08:30 - 01.01.2019 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","454","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","30"
"Cyprus (CY)","01.01.2019 09:00 - 01.01.2019 09:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","495","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14"
"Cyprus (CY)","01.01.2019 09:30 - 01.01.2019 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","514","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15"
"Cyprus (CY)","01.01.2019 10:00 - 01.01.2019 10:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","532","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","13"
"Cyprus (CY)","01.01.2019 10:30 - 01.01.2019 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","538","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7"
"Cyprus (CY)","01.01.2019 11:00 - 01.01.2019 11:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","535","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","11"
"Cyprus (CY)","01.01.2019 11:30 - 01.01.2019 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","533","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7"
"Cyprus (CY)","01.01.2019 12:00 - 01.01.2019 12:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","538","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1"
"Cyprus (CY)","01.01.2019 12:30 - 01.01.2019 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","528","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","3"
"Cyprus (CY)","01.01.2019 13:00 - 01.01.2019 13:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","517","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","3"
"Cyprus (CY)","01.01.2019 13:30 - 01.01.2019 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","504","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7"
"Cyprus (CY)","01.01.2019 14:00 - 01.01.2019 14:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","510","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","10"
"Cyprus (CY)","01.01.2019 14:30 - 01.01.2019 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","514","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","11"
"Cyprus (CY)","01.01.2019 15:00 - 01.01.2019 15:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","519","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15"
"Cyprus (CY)","01.01.2019 15:30 - 01.01.2019 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","536","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","18"
"Cyprus (CY)","01.01.2019 16:00 - 01.01.2019 16:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","595","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","19"
"Cyprus (CY)","01.01.2019 16:30 - 01.01.2019 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","609","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","35"
"Cyprus (CY)","01.01.2019 17:00 - 01.01.2019 17:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","628","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","30"
"Cyprus (CY)","01.01.2019 17:30 - 01.01.2019 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","634","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","30"
"Cyprus (CY)","01.01.2019 18:00 - 01.01.2019 18:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","640","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","29"
"Cyprus (CY)","01.01.2019 18:30 - 01.01.2019 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","631","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","33"
"Cyprus (CY)","01.01.2019 19:00 - 01.01.2019 19:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","641","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","22"
"Cyprus (CY)","01.01.2019 19:30 - 01.01.2019 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","638","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","24"
"Cyprus (CY)","01.01.2019 20:00 - 01.01.2019 20:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","628","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","28"
"Cyprus (CY)","01.01.2019 20:30 - 01.01.2019 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","621","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","25"
"Cyprus (CY)","01.01.2019 21:00 - 01.01.2019 21:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","604","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","22"
"Cyprus (CY)","01.01.2019 21:30 - 01.01.2019 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","580","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","22"
"Cyprus (CY)","01.01.2019 22:00 - 01.01.2019 22:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","550","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","28"
"Cyprus (CY)","01.01.2019 22:30 - 01.01.2019 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","513","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","40"
"Cyprus (CY)","01.01.2019 23:00 - 01.01.2019 23:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","475","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","40"
"Cyprus (CY)","01.01.2019 23:30 - 02.01.2019 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","437","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","45"
"Cyprus (CY)","02.01.2019 00:00 - 02.01.2019 00:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","409","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","44"
"Cyprus (CY)","02.01.2019 00:30 - 02.01.2019 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","400","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","32"
"Cyprus (CY)","02.01.2019 01:00 - 02.01.2019 01:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","397","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","19"
"Cyprus (CY)","02.01.2019 01:30 - 02.01.2019 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","394","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","11"
"Cyprus (CY)","02.01.2019 02:00 - 02.01.2019 02:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","392","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6"
"Cyprus (CY)","02.01.2019 02:30 - 02.01.2019 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","377","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","16"
"Cyprus (CY)","02.01.2019 03:00 - 02.01.2019 03:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","371","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","21"
"Cyprus (CY)","02.01.2019 03:30 - 02.01.2019 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","377","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","18"
"Cyprus (CY)","02.01.2019 04:00 - 02.01.2019 04:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","365","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","36"
"Cyprus (CY)","02.01.2019 04:30 - 02.01.2019 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","350","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","58"
"Cyprus (CY)","02.01.2019 05:00 - 02.01.2019 05:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","385","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","51"
"Cyprus (CY)","02.01.2019 05:30 - 02.01.2019 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","371","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","73"
"Cyprus (CY)","02.01.2019 06:00 - 02.01.2019 06:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","407","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","70"
"Cyprus (CY)","02.01.2019 06:30 - 02.01.2019 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","443","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","72"
"Cyprus (CY)","02.01.2019 07:00 - 02.01.2019 07:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","476","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","79"
"Cyprus (CY)","02.01.2019 07:30 - 02.01.2019 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","516","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","52"
"Cyprus (CY)","02.01.2019 08:00 - 02.01.2019 08:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","525","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","51"
"Cyprus (CY)","02.01.2019 08:30 - 02.01.2019 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","515","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","73"
"Cyprus (CY)","02.01.2019 09:00 - 02.01.2019 09:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","515","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","83"
"Cyprus (CY)","02.01.2019 09:30 - 02.01.2019 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","551","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","63"
"Cyprus (CY)","02.01.2019 10:00 - 02.01.2019 10:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","556","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","82"
"Cyprus (CY)","02.01.2019 10:30 - 02.01.2019 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","557","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","105"
"Cyprus (CY)","02.01.2019 11:00 - 02.01.2019 11:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","554","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","118"
"Cyprus (CY)","02.01.2019 11:30 - 02.01.2019 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","569","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","115"
"Cyprus (CY)","02.01.2019 12:00 - 02.01.2019 12:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","601","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","95"
"Cyprus (CY)","02.01.2019 12:30 - 02.01.2019 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","630","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","55"
"Cyprus (CY)","02.01.2019 13:00 - 02.01.2019 13:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","606","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","77"
"Cyprus (CY)","02.01.2019 13:30 - 02.01.2019 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","598","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","92"
"Cyprus (CY)","02.01.2019 14:00 - 02.01.2019 14:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","580","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","106"
"Cyprus (CY)","02.01.2019 14:30 - 02.01.2019 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","599","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","83"
"Cyprus (CY)","02.01.2019 15:00 - 02.01.2019 15:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","612","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","74"
"Cyprus (CY)","02.01.2019 15:30 - 02.01.2019 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","607","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","95"
"Cyprus (CY)","02.01.2019 16:00 - 02.01.2019 16:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","657","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","97"
"Cyprus (CY)","02.01.2019 16:30 - 02.01.2019 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","719","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","57"
"Cyprus (CY)","02.01.2019 17:00 - 02.01.2019 17:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","706","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","77"
"Cyprus (CY)","02.01.2019 17:30 - 02.01.2019 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","694","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","87"
"Cyprus (CY)","02.01.2019 18:00 - 02.01.2019 18:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","708","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","69"
"Cyprus (CY)","02.01.2019 18:30 - 02.01.2019 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","708","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","48"
"Cyprus (CY)","02.01.2019 19:00 - 02.01.2019 19:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","694","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","52"
"Cyprus (CY)","02.01.2019 19:30 - 02.01.2019 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","717","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","25"
"Cyprus (CY)","02.01.2019 20:00 - 02.01.2019 20:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","672","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","54"
"Cyprus (CY)","02.01.2019 20:30 - 02.01.2019 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","677","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","32"
"Cyprus (CY)","02.01.2019 21:00 - 02.01.2019 21:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","652","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","32"
"Cyprus (CY)","02.01.2019 21:30 - 02.01.2019 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","625","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","32"
"Cyprus (CY)","02.01.2019 22:00 - 02.01.2019 22:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","606","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","21"
"Cyprus (CY)","02.01.2019 22:30 - 02.01.2019 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","575","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","20"
"Cyprus (CY)","02.01.2019 23:00 - 02.01.2019 23:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","532","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","20"
"Cyprus (CY)","02.01.2019 23:30 - 03.01.2019 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","501","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15"
"Cyprus (CY)","03.01.2019 00:00 - 03.01.2019 00:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","463","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","19"
"Cyprus (CY)","03.01.2019 00:30 - 03.01.2019 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","446","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","13"
"Cyprus (CY)","03.01.2019 01:00 - 03.01.2019 01:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","433","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","8"
"Cyprus (CY)","03.01.2019 01:30 - 03.01.2019 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","414","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15"
"Cyprus (CY)","03.01.2019 02:00 - 03.01.2019 02:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","409","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","13"
"Cyprus (CY)","03.01.2019 02:30 - 03.01.2019 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","409","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7"
"Cyprus (CY)","03.01.2019 03:00 - 03.01.2019 03:30 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","401","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","13"
"Cyprus (CY)","03.01.2019 03:30 - 03.01.2019 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","411","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6"
